frequency,raw
8924.33,62.59
8961.17,63.03
8981.33,62.18
9015.02,62.60
9063.77,61.70
9069.20,62.17
9115.90,61.28
9178.54,60.88
9233.70,60.45
9281.25,60.08
9345.02,59.65
9383.60,59.21
9441.96,58.80
9514.53,58.35
9571.71,57.90
9620.99,57.52
9687.10,57.10
9745.32,56.67
9795.50,56.28
9822.27,55.88
9883.52,55.41
9922.09,55.91
9945.23,54.92
9981.72,55.42
10000.42,54.47
10041.71,54.93
10058.43,54.01
10102.06,54.45
10123.26,53.53
10162.77,54.02
10223.85,53.05
10223.85,53.60
10285.29,52.61
10347.10,52.18
10366.50,51.76
10433.57,51.32
10471.85,51.83
10496.28,50.84
10534.78,51.34
10559.36,50.34
10598.10,50.86
10617.96,49.87
10661.79,50.31
10679.55,49.41
10725.86,49.82
10749.99,48.96
10790.33,49.40
10840.73,48.51
10855.18,48.97
10920.41,48.05
10976.64,47.65
11043.79,47.26
11118.49,46.81
11164.39,46.39
11244.11,45.98
11311.69,45.57
11388.19,45.13
11456.64,44.74
11525.49,44.38
11594.76,44.03
11664.44,43.69
11734.54,43.35
11840.49,43.38
11864.16,42.94
12040.81,42.73
12196.94,43.02
12273.91,43.43
12347.68,43.86
12384.73,43.44
12413.62,44.29
12459.16,43.86
12489.06,44.79
12571.65,45.26
12609.37,44.87
12647.20,45.65
12761.38,46.05
12761.38,45.66
12876.60,46.05
12911.37,46.44
13022.08,46.82
13136.37,47.26
13254.97,47.74
13268.21,47.24
13383.55,48.19
13388.00,47.85
13508.88,48.61
13718.63,48.70
13765.68,48.34
13878.08,48.01
13905.83,47.68
13997.38,47.29
14029.62,46.93
14045.39,47.69
14172.20,46.66
14332.32,46.58
14417.47,47.02
14504.12,47.63
14559.53,47.15
14591.29,48.28
14647.03,47.72
14686.58,48.86
14735.06,48.30
14740.58,49.30
14810.30,49.86
14868.09,49.29
14903.77,50.40
14957.45,49.88
15002.33,50.87
15047.34,50.37
15092.49,51.31
15183.20,51.77
15228.75,51.31
15274.45,52.18
15352.44,52.68
15412.35,52.20
15445.97,53.33
15528.22,52.85
15560.82,53.94
15591.49,54.41
15598.16,53.35
15638.27,54.81
15691.90,53.90
15734.27,55.36
15762.58,54.42
15779.46,55.79
15809.88,54.86
15868.11,56.37
15952.61,55.86
15962.17,56.99
16024.46,56.41
16072.54,57.52
16120.77,56.97
16169.14,58.04
16217.65,57.61
16266.31,58.41
16413.17,58.83
16536.57,58.51
16660.89,58.90
16823.91,58.50
16905.11,58.11
16994.88,57.71
17065.04,58.10
17116.24,57.34
17186.89,56.93
17259.28,56.50
17355.06,56.07
17426.70,56.52
17463.28,55.60
17531.43,56.09
17564.29,55.14
17636.79,55.60
17673.82,54.68
17742.79,55.18
17784.18,54.17
17849.42,54.69
17891.06,53.68
17916.39,53.16
17956.69,54.20
18049.86,52.67
18091.69,53.44
18113.39,52.01
18126.57,51.53
18227.71,51.11
18227.71,52.56
18235.51,50.65
18282.40,52.07
18290.22,49.91
18329.41,50.33
18337.25,51.65
18364.74,49.18
18384.40,49.61
18392.27,51.10
18425.37,48.71
18455.36,47.88
18494.89,48.32
18525.00,46.95
18547.21,47.40
18558.33,46.50
18558.33,49.34
18641.91,45.92
18669.86,47.94
18697.85,44.72
18710.58,45.23
18725.88,47.27
18725.88,46.90
18753.95,44.19
18782.06,46.54
18819.62,43.55
18830.36,43.83
18838.42,45.75
18866.66,43.21
18894.94,45.08
18894.94,44.71
18903.03,42.44
18923.27,42.84
18980.05,41.57
18995.85,42.02
19040.16,41.10
19073.70,40.55
19076.96,40.06
19122.74,39.52
19160.97,38.90
19180.12,41.61
19180.12,38.42
19329.49,38.11
19518.74,37.72
19518.74,37.32
19518.74,36.92
19709.84,36.33
