frequency,raw
8709.714,64.887
8722.771,65.977
8769.937,64.449
8788.349,65.155
8811.417,64.037
8849.116,63.546
8903.822,63.112
8934.361,63.603
8949.244,62.643
8988.056,63.056
9003.028,62.153
9042.073,62.569
9062.413,61.706
9096.415,62.143
9138.907,61.254
9151.084,61.717
9206.081,60.801
9252.164,60.484
9311.488,60.089
9381.090,59.765
9457.687,59.769
9476.596,59.330
9562.154,58.937
9655.232,58.555
9757.843,58.278
9882.530,58.085
9951.857,57.771
10102.056,57.668
10193.261,57.493
10362.615,57.551
10550.575,57.776
10729.079,58.126
10855.175,58.153
10884.484,58.542
10986.044,58.548
11016.007,58.935
11118.491,58.973
11141.833,59.363
11275.032,59.804
11447.280,60.090
11652.798,60.158
11822.763,59.857
11911.647,59.432
12010.191,59.127
12105.923,58.676
12158.887,58.267
12237.198,57.959
12310.742,57.594
12384.728,57.237
12459.159,56.898
12571.645,56.901
12596.780,56.499
12732.741,56.190
12915.234,56.019
13012.331,55.912
13248.352,55.980
13488.655,56.124
13733.316,56.303
13988.128,56.409
14214.723,56.328
14330.786,55.981
14429.259,55.633
14603.217,55.309
14668.991,55.528
14845.839,55.336
15042.836,55.759
15047.343,55.406
15137.776,56.174
15228.753,56.592
15274.446,56.166
15310.080,57.031
15366.244,56.592
15403.117,57.537
15491.710,58.025
15551.498,57.595
15598.160,58.336
15738.986,58.707
15976.528,58.704
16113.872,58.533
16310.234,58.886
16418.638,59.293
16511.815,59.734
16648.416,60.171
16786.147,59.874
16874.386,60.319
17076.401,59.938
17141.898,59.534
17211.738,59.213
17305.301,58.836
17355.058,58.421
17467.353,57.920
17492.083,57.424
17531.431,58.413
17626.229,56.977
17663.233,57.713
17716.230,56.523
17778.262,56.107
17796.025,57.013
17895.317,55.705
17956.695,56.161
17986.607,55.242
18064.613,55.674
18105.249,54.804
18173.179,55.188
18282.398,54.413
18282.398,54.822
18586.147,54.274
18923.268,54.368
19141.845,54.334
19180.116,54.060
19329.490,53.742
19423.883,53.544
19614.054,53.148
19709.837,52.752

